block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410739123,5,1.2755129509271075e-06,82807248967.2456,0.0005714252960202737,,,,
410739135,3,1.4087210048192057e-08,914552148.503577,0.0005012057892503377,,,,
410739151,34,7.817485541525611e-07,50751697273.19753,0.0,,,,
410739154,33,8.326922393338859e-07,54058999185.7753,0.0,,,,
410739158,7,8.240121513987291e-07,53495481424.40591,0.0,,,,
410739223,27,8.956066632016729e-07,58143450352.706955,0.0,,,,
410739224,45,1.580644755278651e-06,102616632535.16447,0.0,,,,
410739224,90,9.923489495375993e-07,64424031498.08604,0.0,,,,
410739225,29,1.402701836154975e-07,9133744844.913282,0.0,,,,
410739225,41,2.918219738113739e-07,19002095671.581985,0.0,,,,
410739225,50,8.341308063685053e-08,5431473572.128377,0.0,,,,
410739225,56,2.4480739064642943e-07,15940723713.905909,0.0,,,,
410739225,60,1.1036805722419567e-07,7186656834.198484,0.0,,,,
410739236,51,1.181535829361539e-08,769361421.818156,0.0005012211506426612,,,,
410739244,21,8.95392171257937e-07,58303792136.04544,0.0,,,,
410739245,13,7.441930672714637e-09,484584066.022421,0.0005006655345238728,,,,
410739247,60,8.951203591331644e-07,58286092989.08894,0.0,,,,
410739247,96,9.448475723878293e-09,615240988.575472,0.0005007775662425164,,,,
410739247,121,7.933954622869301e-09,516622387.371011,0.0005010108294859026,,,,
410739251,22,6.082878730994104e-07,39608889658.081024,0.0,,,,
410739478,12,2.3800476157390856e-08,1549776800.784287,0.0005016562540264636,,,,
410739482,60,6.316302274593404e-07,41128835688.71839,0.0005355145885392176,,,,
410739485,7,6.410961525900758e-07,41745212901.870026,0.0005360410324514499,,,,
410739485,73,7.063507762956524e-07,45994291840.209114,0.0005396833597691682,,,,
410739567,43,8.999472955757268e-07,58600400739.40764,0.0005504878431464828,,,,
410739569,39,8.956972037903975e-07,58323654442.12561,0.000550248825639748,,,,
410739569,43,7.194994916676485e-07,46850475300.94662,0.000540507023529117,,,,
410739570,49,8.788794063937706e-07,57057504406.00039,0.0005493061949557712,,,,
